 , threads=1, threads=2, threads=4
480x480,191.561,102.663,93.769
960x960,735.743,405.09,369.624
1920x1920,2905.5,1837.77,1478.72
3840x3840,11697.5,6432.4,5712.33
7680x7680,44686.9,25426.4,22616.6
