 , threads=1, threads=2, threads=4
500x500,0.0113779,0.00588341,0.00475599
1000x1000,0.0348627,0.0192422,0.0181929
2000x2000,0.13976,0.0778002,0.0727368
4000x4000,0.551967,0.328528,0.299939
