 , threads=1, threads=2, threads=4
500x500,0.00863032,0.00614662,0.00639051
1000x1000,0.0271365,0.0143279,0.0129215
2000x2000,0.101109,0.0572056,0.051686
4000x4000,0.428016,0.24479,0.208866
