 , threads=1, threads=2, threads=4
480x480,96.2137,48.8878,47.5378
960x960,267.471,141.495,130.965
1920x1920,1007.15,562.805,526.511
3840x3840,4032,2272.85,2159.51
7680x7680,16145.1,9412,8591.84
