 , threads=1, threads=2, threads=4
480x480, 77.1479, 39.4678, 38.5819
960x960, 285.695, 167.39, 164.615
1920x1920, 1153.74, 665.798, 646.671
3840x3840, 4544.97, 2629.59, 2534.88
