 , threads=1, threads=2, threads=4
480x480,69.9272,36.1555,34.5606
960x960,267.345,150.903,148.502
1920x1920,1076.74,608.004,578.623
3840x3840,4295.76,2448.92,2312.2
7680x7680,17190.2,9732.59,9236.15
