 , threads=1, threads=2, threads=4
500x500,0.0331756,0.0174655,0.0167458
1000x1000,0.102517,0.0898367,0.0539451
2000x2000,0.404974,0.236098,0.216797
4000x4000,1.64997,0.952519,0.91247
